発表日,対象月,分後,価格,値動き($)
2025-09-05,2025年8月分,-5.0,3551.59,-3.281500000000051
2025-09-05,2025年8月分,-4.0,3550.7,-4.171500000000378
2025-09-05,2025年8月分,-3.0,3552.265,-2.606500000000324
2025-09-05,2025年8月分,-2.0,3554.3399999999997,-0.5315000000005057
2025-09-05,2025年8月分,-1.0,3554.8865000000005,0.0150000000003274
2025-09-05,2025年8月分,0.0,3574.2000000000003,19.328500000000076
2025-09-05,2025年8月分,1.0,3576.8999999999996,22.02849999999944
2025-09-05,2025年8月分,2.0,3578.6370000000006,23.76550000000043
2025-09-05,2025年8月分,3.0,3578.9635000000003,24.0920000000001
2025-09-05,2025年8月分,4.0,3577.1950000000006,22.323500000000426
2025-09-05,2025年8月分,5.0,3575.1999999999994,20.328499999999167
2025-09-05,2025年8月分,6.0,3576.38,21.508499999999913
2025-09-05,2025年8月分,7.0,3579.8050000000003,24.933500000000095
2025-09-05,2025年8月分,8.0,3582.13,27.258499999999913
2025-09-05,2025年8月分,9.0,3584.7499999999995,29.87849999999935
2025-09-05,2025年8月分,10.0,3586.565,31.693499999999855
2025-09-05,2025年8月分,11.0,3580.485,25.61349999999993
2025-09-05,2025年8月分,12.0,3583.5965,28.72499999999991
2025-09-05,2025年8月分,13.0,3582.5784999999996,27.706999999999425
2025-09-05,2025年8月分,14.0,3583.695,28.823499999999967
2025-09-05,2025年8月分,15.0,3580.1000000000004,25.228500000000167
2025-09-05,2025年8月分,16.0,3577.1100000000006,22.238500000000386
2025-09-05,2025年8月分,17.0,3572.3199999999997,17.448499999999513
2025-09-05,2025年8月分,18.0,3576.9649999999997,22.093499999999494
2025-09-05,2025年8月分,19.0,3579.9085,25.036999999999807
2025-09-05,2025年8月分,20.0,3576.2500000000005,21.37850000000026
2025-09-05,2025年8月分,21.0,3580.1814999999997,25.30999999999949
2025-09-05,2025年8月分,22.0,3579.49,24.618499999999585
2025-09-05,2025年8月分,23.0,3578.6500000000005,23.77850000000035
2025-09-05,2025年8月分,24.0,3580.3565,25.484999999999673
2025-09-05,2025年8月分,25.0,3579.2715000000003,24.40000000000009
2025-09-05,2025年8月分,26.0,3580.8084999999996,25.936999999999443
2025-09-05,2025年8月分,27.0,3579.06,24.18849999999975
2025-09-05,2025年8月分,28.0,3578.4585,23.58699999999999
2025-09-05,2025年8月分,29.0,3580.475,25.603499999999713
2025-09-05,2025年8月分,30.0,3581.935,27.06349999999975
